Timestamp,Cocktail name,Instructions,Ingredients
03/11/2024 19:28:11,A Day at the Beach,"Ingredients Sweet 1 oz Coconut rum 1/2 oz Amaretto 4 oz Orange juice 1/2 oz Grenadine Instructions Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.GlassServe: Highball glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
03/11/2024 19:31:52,A Day at the Beach,"Ingredients Sweet 1 oz Coconut rum 1/2 oz Amaretto 4 oz Orange juice 1/2 oz Grenadine Instructions Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.GlassServe: Highball glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
03/11/2024 19:31:58,A Furlong Too Late,Ingredients 2 oz Light rum 4 oz Ginger beer 1 twist of Lemon peel Instructions Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.GlassServe: Highball glass,"1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
03/11/2024 19:32:02,A Gilligan's Island,"Ingredients 1 oz Vodka 1 oz Peach schnapps 3 oz Orange juice 3 oz Cranberry juice Instructions Shaken, not stirred!GlassServe: Collins glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
03/11/2024 19:32:08,A midsummernight dream,"Ingredients 2 oz Vodka 1 oz Kirschwasser 1 tsp Strawberry liqueur 5 Strawberries Schweppes Russchian Instructions Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian waterGlassServe: Collins Glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
03/11/2024 19:32:13,A Night In Old Mandalay,"Ingredients 1 oz Light rum 1 oz Añejo rum 1 oz Orange juice 1/2 oz Lemon juice 3 oz Ginger ale 1 twist of Lemon peel Instructions In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.GlassServe: Highball glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
05/11/2024 06:31:35,A Day at the Beach,"Instructions Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.GlassServe: Highball glass","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine"
05/11/2024 06:31:39,A Furlong Too Late,Instructions Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.GlassServe: Highball glass,"2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel"
05/11/2024 06:31:43,A Gilligan's Island,"Instructions Shaken, not stirred!GlassServe: Collins glass","1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice"
05/11/2024 06:31:46,A midsummernight dream,"Instructions Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian waterGlassServe: Collins Glass","2 oz  Vodka, 1 oz  Kirschwasser, 1 tsp  Strawberry liqueur, 5  Strawberries, Schweppes Russchian"
